geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os01g09220	156	437	1084	1474	5.973894998	16.41819587	41.1040066	57.1551235	2.165546749	4.922359668	1.99E-07	2.59E-05		
LOC_Os01g51690	2	14	77	70	0.076588397	0.525983392	2.919749546	2.714286734	3.227868617	0.709843216	2.00E-07	2.59E-05		
LOC_Os11g29740	12	15	89	76	0.459530384	0.563553634	3.374775449	2.946939882	2.63827399	0.93590192	2.13E-07	2.74E-05		
LOC_Os03g36279	11	4	86	51	0.421236186	0.150280969	3.261018974	1.977551763	3.194777554	0.612430111	2.25E-07	2.87E-05		
LOC_Os03g13050	7	9	71	51	0.268059391	0.33813218	2.692236595	1.977551763	2.94690125	0.480124577	2.28E-07	2.90E-05		
LOC_Os06g50080	294	342	1077	740	11.25849442	12.84902285	40.83857482	28.69388833	1.549016899	4.553766975	2.34E-07	2.95E-05		
LOC_Os03g60560	38	68	180	396	1.455179551	2.554776474	6.825388549	15.35510781	2.495790154	2.733987636	2.43E-07	3.03E-05		
LOC_Os01g43650	81	99	284	342	3.101830095	3.719453984	10.76894638	13.26122947	1.840223598	2.964274845	2.44E-07	3.03E-05		
LOC_Os05g33900	177	194	1002	433	6.778073171	7.288626999	37.99466293	16.78980222	1.978547948	4.110681433	2.50E-07	3.09E-05		
LOC_Os05g35930	63	91	424	226	2.412534518	3.418892046	16.07758192	8.763268597	2.109877063	2.952639426	2.60E-07	3.20E-05		
LOC_Os07g38630	220	335	714	1008	8.424723715	12.58603116	27.07404125	39.08572896	1.682420129	4.454228481	2.65E-07	3.24E-05		
LOC_Os04g35030	24	46	170	170	0.919060769	1.728231144	6.446200297	6.59183921	2.321419914	2.000800552	2.91E-07	3.54E-05		
LOC_Os06g45184	11	19	106	75	0.421236186	0.713834603	4.019395479	2.908164357	2.621269567	1.06479742	2.95E-07	3.56E-05		
LOC_Os11g29420	2	5	53	30	0.076588397	0.187851211	2.00969774	1.163265743	3.555998126	-0.097394511	3.06E-07	3.68E-05		
LOC_Os01g47300	20	19	133	84	0.765883974	0.713834603	5.043203762	3.25714408	2.500192824	1.334399873	3.17E-07	3.78E-05		
LOC_Os03g01880	1274	1848	312	576	48.78680915	69.4298077	11.83067349	22.33470226	-1.761004444	5.243963799	3.20E-07	3.80E-05		
LOC_Os05g31620	113	217	463	827	4.327244454	8.152742571	17.5564161	32.06735898	2.021704122	3.968771677	3.26E-07	3.85E-05		
LOC_Os03g61290	5	3	45	36	0.191470994	0.112710727	1.706347137	1.395918892	3.333088885	-0.109131157	3.31E-07	3.88E-05		
LOC_Os03g14370	237	303	703	764	9.075725093	11.38378341	26.65693417	29.62450092	1.484357322	4.269453408	3.44E-07	4.02E-05		
LOC_Os02g36110	187	288	718	650	7.161015158	10.82022977	27.22571655	25.2040911	1.568409523	4.144737037	3.66E-07	4.25E-05		
LOC_Os01g42110	4	7	41	55	0.153176795	0.262991696	1.554671836	2.132653862	3.141400935	0.139890495	4.33E-07	5.00E-05		
LOC_Os11g31090	69	65	219	278	2.642299711	2.442065747	8.304222735	10.77959588	1.92993575	2.616493902	4.38E-07	5.01E-05		
LOC_Os11g44430	83	89	253	368	3.178418492	3.343751562	9.593462795	14.26939311	1.895149337	2.943680766	4.41E-07	5.01E-05		
LOC_Os09g15050	106	103	23	7	4.059185063	3.869734953	0.872132981	0.271428673	-2.762453404	1.220847311	4.41E-07	5.01E-05		
LOC_Os04g27190	1659	3197	380	776	63.53007565	120.1120645	14.4091536	30.08980722	-2.012139175	5.822576269	4.95E-07	5.59E-05		
LOC_Os07g24830	241	731	2793	1615	9.228901888	27.4638471	105.907279	62.62247249	2.226448372	5.682665155	5.24E-07	5.88E-05		
